question,ground_truth,model_answer,confidence,is_correct
Which shipping forecast area is directly north of German Bight?,Fisher,Dogger Bank,0.73,False
By what name did Samuel Langhorne Clemens publish his novels under?,Mark Twain,Mark Twain,0.95,True
Who wrote the novel Rasselas in a single week in 1759 to pay for his mother's funeral?,Samuel Johnson,Samuel Johnson,0.95,True
Who painted Girl with a Pearl Earring?,Johannes Vermeer,Johannes Vermeer,0.95,True
What is 1009 when expressed as Roman Numerals?,MIX,MIX,1.0,True
Who had hits with Go Now and Nights in White Satin?,Moody Blues,The Moody Blues,0.83,True
Which statesman was known as the Iron Chancellor?,Otto Van Bismark,Otto von Bismarck,0.89,True
What was left in Pandora's Box after all the evil escaped?,Hope,Hope,0.92,True
What type of bird was the first released by Noah?,Raven,Dove,0.72,False
What is the state capital of Florida?,Tallahassee,Tallahassee,0.95,True
Who was sacked as the Beatles' drummer and replaced by Ringo Starr?,Pete Best,Pete Best,0.95,True
In which is Shakespeare's plays are the title character's last words the rest is silence?,Hamlet,Hamlet,0.95,True
"Tsar Nicholas I abidacated in 1917, who was the other monarch to abdicate during this period?",Constantine I of Greece,Kaiser Wilhelm II of Germany and King Manuel II of Portugal,0.59,False
"Which Roman Emperor was allegedy killed by his wife, Aggripina, in AD54?",Claudius,Claudius,0.79,True
Whose last words were Et Tu Brute according to Shakespeare?,Julius Ceasar,Julius Caesar,0.95,True
Mel Gibson (1990) and Kenneth Branagh (1996) have both played which character in movies?,Hamlet,Hamlet,0.73,True
"The original United Artists film studio was founded in 1919 by D.W. Griffith, Mary Pickford, Douglas Fairbanks and who else?",Charlie Chaplin,Charlie Chaplin,0.79,True
Which Holiday movie favourite featured a character called Kevin McCallister?,Home Alone,Home Alone,0.95,True
Who was the author of Pygmalion'?,George Bernard Shaw,George Bernard Shaw,0.92,True
"Who was the third President of the USA, following on from George Washington and John Adams was also famed for his numerous inventions?",Thomas Jefferson,Thomas Jefferson,0.92,True
What is the minimum age of someone running for the office of President of the United States?,35 years of age,35 years old,0.95,True
England won the 1966 World Cup beating Germany 4-2. Hurst scored 3 of England's goals who scored the other?,Martin Peters,Geoffrey Hurst scored all three of England's goals in extra time.,0.95,False
From which 1960s sci-fi movie did 1980s pop sensation Duran Duran take their name from a character from the movie?,Barbarella,Barbarella,0.63,True
What year did E.T. Hit the cinema screen?,1982,1982,0.95,True
The Red Sea is connected to the Indian Ocean by which gulf ?,Gulf of Aden.,Gulf of Suez and Gulf of Aden,0.75,False
The Red Setter is more properly known by which name?,The Irish Setter.,Irish Setter,0.89,True
What was the name of the World War I fighter ace nicknamed the Red Baron?,Manfred von Richtofen.,Manfred von Richthofen,0.95,True
What is the capital of the U.S. state of Connecticut?,Hartford.,Hartford,0.95,True
What was founded by Ferdinand II of Aragon and Isabella I of Castile to keep Catholic orthodoxy as the major religion of their kingdoms?,Spanish Inquisition,The Spanish Inquisition,0.83,True
"In golf, what name is given to a score of three under par on a given hole?",Albatross,Albatross,0.85,True
"In dentistry, what is the name given to hardened dental plaque?",TARTAR.,Tartar,0.95,True
Which singer played the Goblin King Jareth in the film Labyrinth'?,David Bowie,David Bowie,0.95,True
Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,Tina Turner,Tina Turner,0.95,True
"Name the fantasy movie directed by Terry Gilliam, where 6 dwarves have stolen a map.",Time Bandits,"The Adventures of Baron Munchausen's lesser known brother is not correct, but The Adventures of Baron Munchausen is not about 6 dwarves. However, the actual answer is The Adventures of Baron Munchausen is not correct and neither is Labyrinth (1986) because it has only one dwarf. But a movie that fits this description is Legend (1985).",0.42,False
"Which TV comedy had characters McLaren, Blanco & Warren",Porridge,The Young Ones,0.63,False
In which TV series would you find an Eagle Transporter,Space 1999,Battlestar Galactica,0.72,False
Which jazz saxophonist was nicknamed Bird,Charlie Parker,Charlie Parker,0.92,True
Which patriotic Irving Berlin song includes the line  From the mountains to the prairie to the oceans white with foam ?,God Bless AMERICA.,God Bless America,0.95,True
Who created the Miss World pageant?,Eric Morley.,Eric Morley,0.72,True
In Egyptian myth who was the God of chaos and disorder?,Seth,Apep,0.73,False
What type of creature is a Painted Dragon?,Lizard.,Lizard,0.71,True
Which method of painting consists of applying pigment to wet plaster?,Fresco.,Fresco,0.85,True
Who is credited with the discovery of the tomb of King Tutankhamen in 1922?,Howard Carter,Howard Carter,0.92,True
The King of Wishful Thinking was a hit song used during the opening credits of the movie Pretty Woman. Who sang it?,Go West,Daryl Hall and John Oates,0.74,False
"What dish, especially popular in parts of Wales and the English Midlands,  is traditionally made from pig's heart, liver and fatty belly meat or bacon minced together, with herbs added for flavouring and sometimes bread crumbs",Faggots,Laverbread,0.79,False
What was the name of Shari Lewis' sassy sock puppet?,Lamb Chop.,Lamb Chop,0.95,True
Captain Corelli's mandolin is a book a film set in which country,Greece,Greece,0.89,True
The Bull is the village pub in an everyday tale of country folk. In which village is The Bull?,Ambridge,Hampstead,0.42,False
What is the second biggest city in the UK?,Birmingham,Birmingham,0.73,True
Who was the second wife of Henry VIII?,Anne Boleyn,Anne of Cleves,0.83,False
Which actor does the interviewing in 'Interview with a Vampire'?,Christian Slater,"Brad Pitt and Christian Slater, but mostly Tom Cruise's brother, not actually but also Antonio Banderas and Brad Pitt, however it was really Tom Cruise",0.19,True
What is the southernmost city in USA,Honolulu,"Key West, Florida",0.85,False
"In Vladimir Nabokov's book ""Lolita"", what is Lolita's real name?",Dolores HAZE,Dolores Haze,0.95,True
"Which Shakespeare play tells the story of Prospero, the rightful Duke of Milan?",The TEMPEST,The Tempest,0.95,True
Which RAF fighter-bomber was built by the Panavia partnership?,The TORNADO,Tornado,0.78,True
What was the name of the sixth studio album released by Prince and the Revolution in June of 1984?,Purple RAIN,Purple Rain,0.83,True
The undersurface of a person's foot or of a shoe?,Sole,sole,0.95,True
In which film series would you expect to film Katniss Everdeen and Peeta Malark?,The Hunger Games,The Hunger Games,0.95,True
"""Rodney you plonka"" and ""This time next year we'll be millionaires"" are catchphrases from which well-known television sitcom?",Only Fools and Horses,Only Fools and Horses,0.95,True
What did my true love bring to me on the Sixth Day of Christmas?,Six Geese-A-Laying,Partridge in a Pear Tree,1.0,False
Louis Smith won an individual silver medal in gymnastics at the 2012 London Olympics. For what discipline?,Pommel Horse,Pommel Horse,0.75,True
What animal did Reggie Perrin think of every time his Mother-in-law was mentioned?,A Hippopotamus.,an Elephant,0.79,False
Which former prime minister appeared on the Morecambe and Wise Christmas Special in 1978?,Harold Wilson,Harold Wilson,0.58,True
"Where does the infamous ""Streif"" downhill ski race take place?",Kitzbühel,"Kitzbühel, Austria",0.83,True
What song was a hit for Tom Jones and Cerys Matthews in 1999?,Baby it's cold outside,"Baby, It's You",0.73,False
How many lines are there in a sonnet?,14,14,0.95,True
What is the American version of Strictly Come Dancing called?,Dancing With The Stars,Dancing with the Stars,0.83,True
What is the lightest metal under standard conditions?,Lithium,Lithium,0.83,True
What artist designed the logo for Chupa Chups lollipops?,Salvador Dali,Felix Maspoch,0.65,False
"What is being built in the Olympic Park, that will be the world's longest and tallest of its kind?",A slide,The ArcelorMittal Orbit observation tower,0.73,False
In the 'Jungle Book' what type of creature was 'Bagheera'?,Panther,Black Panther,0.85,True
What was the first Beatles film?,A Hard Day's Night,A Hard Day's Night,0.92,True
What was the name of the Liverpool nightclub where the Beatles regularly played?,The Cavern,Cavern Club,0.85,True
How many US states are prefixed by the word New?,4,5,0.85,False
"Although he never won an Oscar for best director, one of Hitchcock's films did win an Oscar for best picture. What was the film?",Rebecca,Rebecca,0.85,True
In which New York borough would you find Hell’s Kitchen?,Manhattan,Manhattan,0.92,True
Which airline is nicknamed ‘The Flying Kangaroo’?,QANTAS,Qantas,0.92,True
Which cartoon character had the maiden name ‘Slaghoople’?,Wilma Flintstone,"Peggy Hill's sister, Peggy's maiden name is Slaghoople, but from what I found it seems more likely that the correct answer is related to 'The Simpsons' and not a main character. However, I found a mention of a minor character named 'Slaghoople' in The Simpsons.",0.43,False
‘Think Different’ is an advertising slogan for which company?,Apple (computers),Apple,0.95,True
Which ‘A’ is a calculating frame with sliding balls on wires?,Abacus,Abacus,0.85,True
The rowan tree is also known as the Mountain ‘what’?,Ash,Ash,0.58,True
Which ‘A’ means in the open air?,Al fresco,Alfresco,0.72,True
Buenos Aires is the capital of which South American country?,Argentina,Argentina,0.92,True
Apiculture is the raising and care of which creatures?,Bees,bees,0.95,True
What is the capital of Indonesia?,Jakarta,Jakarta,0.95,True
Which vegetable was the first to be canned?,Peas,Peas,0.73,True
"In computers, the X-Y Position Indicator for a Display System is now known as what?",Cursor,Mouse,0.85,False
The Khyber Pass is approximately how many miles long?,33 Miles,28 to 32 miles,0.73,False
"Which fruit did Nell Gwynn, mistress of King Charles II, sell in Drury Lane?",Oranges,an orange,0.59,False
The town of Tobermory is on which Scottish island?,Mull,Mull,0.72,True
"In the novel ‘Wuthering Heights’ by Emily Bronte, Catherine’s father found Heathcliffe on the streets of which English city?",Liverpool,Liverpool,0.59,True
Which Asian country hosted its first Formula One Grand Prix motor race in October 2010?,South Korea,Korea,0.85,True
"In UK currency, how many sides does a twenty pence piece have?",Seven,7,0.75,True
"In humans, otalgia, is the medical term for what?",Earache,Ear pain,0.85,True
"British MP, Diane Abbott, learned to play which musical instrument in the tv series ‘Play It Again’?",Piano,Piano,0.5,True
Cristina Fernandez de Kirchner became President of which South American country in December 2007?,Argentina,Argentina,0.95,True
"In Greek mythology, what was the name of the nymph who fell in love with Narcissus, but who was said to have pined away when her love was not returned, leaving only her voice?",Echo,Echo,0.72,True
The Marquesas Islands lie in which ocean?,Pacific,Pacific Ocean,0.92,True
Keflavik is the main international airport of which country?,Iceland,Iceland,0.85,True
Which British artist’s works include ‘The First Real Target’?,Peter Blake,David Hockney,0.59,False
Which King of England sold Dunkirk to Louis XIV of France?,Charles II,William III,0.72,False
What was the middle name of US actor James Dean?,Byron,Malcolm,0.62,False
Which French author wrote the fairy tales ‘Little Red Riding Hood’ ‘Sleeping Beauty’ and ‘Puss in Boots’?,Charles Perrault,Charles Perrault,0.82,True
Author J.R.R. Tolkien was born in which country?,South Africa,England,0.95,False
The pilgrim route to Santiago de Compostela in Northern Spain is known as the ‘Way’ of which saint?,Saint James,St James,0.78,True
Peter O’Sullevan was a BBC commentator for which sport?,Horse racing,horse racing,0.95,True
Who was the first Hanover King of England?,George I,George I,0.95,True
Which group released an album in 1986 entitled ‘The Queen is Dead’?,The Smiths,The Smiths,0.83,True
Which British Prime Minister said of Downing Street ‘One of the most precious jewels in the national heritage’?,Margaret Thatcher,Harold Macmillan,0.78,False
Antigonus is a character in which Shakespeare play?,The Winter’s Tale,"Pericles, Prince of Tyre",0.79,False
Which British monarch famously said ‘I don’t wish to open windows into men’s souls’?,Queen Elizabeth I,Queen Elizabeth I,0.79,True
Which bodily fluid is collected in a lachrymatory?,Tears,tears,0.73,True
Which British singer played Jareth the Goblin King in the 1986 film ‘Labyrinth’?,David Bowie,David Bowie,0.92,True
Golfer Ernie Els was born in which country?,South Africa,South Africa,0.83,True
Aconcagua is the highest mountain in which mountain range?,Andes,The Andes,0.92,True
The 1987 film ‘Cry Freedom’ is a biographical drama about which South African civil rights leader?,Steve Biko,Steve Biko,0.79,True
Which British actress played Valerie in the 1997 film ‘Nil By Mouth’?,Kathy Burke,Kathy Burke,0.83,True
"What was the name of the Brazilian player who won the Women’s Singles Finals at Wimbledon in 1959, 1960 and 1964?",Maria Bueno,Maria Esther Bueno,0.79,True
"Apart from English, what is the official language of Canada?",French,French,0.95,True
What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,Mallard,Mallard,0.83,True
Singer and musician Bono called which venue ‘Rock and roll’s great cathedral’?,Madison Square Garden,Madison Square Garden,0.72,True
What type of creature is a bufflehead?,Duck,a type of duck,0.72,True
The 1950’s Mau Mau uprising was against the British occupation of which country?,Kenya,Kenya,0.83,True
What is a positively charged ion called?,Cation,cation,0.95,True
Which 5th/6th Century Buddhist monk is described in Chinese texts as ‘The Blue-Eyed Barbarian’?,Bodhidharma,Xuanzang,0.85,False
In which part of the human body is the limbic system?,Brain,brain,0.93,True
Which year saw the only hijacking of a British commercial flight?,1970,1970,0.75,True
What was the name of the Cunard ocean liner which was launched on 20th September 1906?,Mauretania,Lusitania,0.95,False
Which European city had the world’s first birth control clinic?,Amsterdam,"Amsterdam, Netherlands",0.72,True
In which James Bond film does actress Jane Seymour play Solitaire?,Live and Let Die,Live and Let Die,0.83,True
What type of creature is a tanager?,Bird,a type of bird,0.78,True
"In ‘Follow That Camel’, the fourteenth Carry On film, Sid James was replaced by which US actor?",Phil Silvers,Jim Dale,0.73,False
"A mahout is a person who works, tends and rides which animal?",Elephant,Elephant,0.89,True
How many medals did the United States win at the 2010 Winter Olympics?,37,37,0.62,True
‘The Weeping Woman’ is the work of which artist?,Pablo Picasso,Pablo Picasso,0.72,True
The Koppen System is a classification system for what?,Climate,climate zones,0.83,True
"In humans, a hemispherectomy is the removal of half of the what?",Brain,brain,0.95,True
"In Greek mythology, Tiresias disclosed the crimes of who?",Oedipus,Oedipus' wife Jocasta and his son Polyneices,0.72,True
The United Nations University is based in which Asian city?,Tokyo,"Tokyo, Japan",0.82,True
What is the name of the iron hook which is attached to the pole used by fisherman to land a heavy fish?,Gaff,Gaff,0.83,True
Which English singer/songwriter/musician wrote the Tremeloes hit ‘Here Comes My Baby’ at the age of eighteen?,Cat Stevens,Cat Stevens,0.74,True
Mearth was the name of the child of which US tv characters?,Mork and Mindy,Kevin Arnold's from Wonder Years and Becky Conner from Married... with Children had a son named Mearth.,0.6,False
In which state of the US is it illegal to mis-pronounce the name of the state?,Arkansas,Arkansas,0.42,True
The Strawberry Museum in the town of Wepion is in which country?,Belgium,Belgium,0.75,True
The Hotel Matignon is the official residence of the Prime Minister of which European country?,France,France,0.92,True
Which British politician became Member of Parliament for Epping in October 1924?,Winston Churchill,Neville Chamberlain,0.79,False
‘The Crafty Cockney’ was the nickname of which British darts player?,Eric Bristow,Eric Bristow,0.72,True
Which famous jewellers makes the Super Bowl Trophy?,Tiffany & Co.,Lindy's Jewelers,0.43,False
"Bedloe’s Island in New York Harbour, is the former name of which island?",Liberty Island,Liberity Island,0.79,False
What is the name of the Jewish spring festival which celebrates the exodus of the Israelites from Egypt?,Passover,Passover,0.95,True
Sadler’s Wells Ballet and the Vic-Wells Ballet were the previous names of which British ballet company?,The Royal Ballet,The Royal Ballet,0.73,True
The roller coaster ride called Rita is located at which English theme park?,Alton Towers,Alton Towers,0.78,True
Which is the first written single word number in which the letter ‘A’ appears?,Thousand,One,0.79,True
In which year did Margaret Thatcher become British Prime Minister?,1979,1979,0.95,True
"In January 1957, Russell Endean became the first batsman to be dismissed from a test cricket match for doing what?",Handling the ball,falling asleep at the crease,0.79,False
What type of animal is a dik-dik?,Antelope,A small antelope native to Africa.,0.83,True
"Isoprene, Butyl and Nitrile are all types of which substance?",Rubber,rubber,0.83,True
Taka is the basic monetary unit of which country?,Bangladesh,Bangladesh,0.8,True
Who does Emilio Estevez play in the 1988 film ‘Young Guns’?,Billy the Kid,Billy the Kid,0.79,True
Which Mediterranean island gained independence in 1959 under the presidency of Archbishop Makarios?,Cyprus,Cyprus,0.83,True
"In medicine, chromotopsia is the term for abnormally coloured what?",Vision,vision,0.75,True
Wanlockhead is the highest village in which European country?,Scotland,Scotland,0.78,True
Which European country hosted the 1956 Winter Olympic Games?,Italy,Finland,0.59,False
‘Lofsongur’ is the national anthem of which country?,Iceland,Iceland,0.73,True
"In Roman mythology, what was the name of the brother slain by Romulus?",Remus,Remus,0.95,True
"In 1951, which European country saw the abdication of King Leopold lll in favour of his son Baudouin?",Belgium,Belgium,0.83,True
In medicine the MMR vaccination gives protection against which diseases?,"Measles, Mumps and Rubella","Measles, Mumps, Rubella",0.92,True
A saluki is which type of animal?,Dog,breed of dog,0.85,True
"What disease was Robert the Bruce, King of Scotland, said to have died of in 1329?",Leprosy,Sweat,0.62,False
‘Divine Wind’ is the English translation of which Japanese word?,Kamikaze,Kamikaze,0.93,True
Which Flemish Baroque painter’s Antwerp home is now a museum?,Peter Paul Rubens,Peter Paul Rubens,0.74,True
"In medicine, epiphora affects which part of the human body?",Eye,nose and sinuses,0.76,False
What nationality was 19th Century author Hans Christian Anderson?,Danish,Danish,0.95,True
Umberto ll was the last king of which European country?,Italy,San Marino,0.65,False
Which US singing duo started out under the names Caesar and Cleo?,Sonny and Cher,Sonny and Cher,0.72,True
"Fidel Castro, former President of Cuba, ordered which board game to be destroyed when he took power?",Monopoly,Monopoly,0.59,True
Which creature features on the label of a Bacardi rum bottle?,Bat,Bacardi Bat,0.85,True
"According to the Bible, who was the only apostle to witness the crucifixion of Jesus?",John,John,0.8,True
"Who played the role of Caligula in the 1976 UK tv series ‘I, Claudius’?",John Hurt,John Hurt,0.92,True
What colour is the cross on the national flag of Denmark?,White,White,0.73,True
Who wrote the 1963 novel ‘The Spy Who Came in From the Cold’?,John Le Carre,John le Carré,0.95,True
"Composite, Shield and Cinder Cone are all types of what?",Volcano,Volcanoes,0.83,True
Mouldwarp is an old name for which creature?,Mole,Badger,0.73,False
What is the name of Humphrey Bogart’s character in the film ‘Casablanca’?,Rick Blaine,Rick Blaine,0.95,True
What is the US state capital of Louisiana?,Baton Rouge,Baton Rouge,0.95,True
What is the title of the 1996 Oscar-winning documentary about the Muhammad Ali and George Foreman 1974 ‘Rumble in the Jungle’ fight in Zaire?,When We Were Kings,When We Were Kings,0.95,True
The Battle of Vimy Ridge took place in which country during World War l?,France,Canada,0.85,False
What colour is ‘Mr Man’ Mr Strong’s hat?,Green,Blue,0.72,False
What are the first names of art duo Proesch and Passmore?,Gilbert and George,Max and Lizzie,0.79,False
What was is the name of Penelope Pitstop’s car in the children’s tv cartoon series ‘Wacky Races’?,Compact Pussycat,The Compact Pussycat,0.72,True
The Wang River is in which Asian country?,Thailand,Thailand,0.72,True
Which tennis player was known as the Rockhampton Rocket?,Rod Laver,Rod Laver,0.72,True
The ports of Puck and Jastarnia are in which European country?,Poland,Poland,0.72,True
Which famous racehorse won Australia’s Melbourne Cup in 1930?,Phar Lap,Phar Lap,0.78,True
Amr Shabana from Egypt is famous for playing which sport?,Squash,Squash,0.85,True
How many pounds are in a UK (long) ton?,2240,2240,0.85,True
Cobweb is a fairy in which Shakespeare play?,A Midsummer Night’s Dream,A Midsummer Night's Dream,0.75,True
Apimania is an obsession with which creatures?,Bees,Bees,0.83,True
"In 1216, English monarch King John was said to have lost the crown jewels while crossing which body of water?",The Wash,The Wash,0.72,True
Which British playwright was killed with a hammer by his lover Keith Haliwell in 1967?,Joe Orton,Joe Orton,0.83,True
What is the nickname of baseball star Jimmie Foxx?,Double X,Double X,0.78,True
The Free Officers Movement was composed of young junior army officers committed to unseating the monarchy of which African country?,Egypt,Egypt,0.67,True
"In which year was the storming of the Bastille, which started the French Revolution?",1789,1789,0.95,True
Who was the first poet to be buried at Poet’s Corner in London’s Westminster Abbey?,Geoffrey Chaucer,Ben Jonson,0.73,False
‘The Night of the Long Knives’ refers to which leader eliminating many of his political enemies?,Adolph Hitler,Adolf Hitler,0.83,True
Hans Holbein the Younger was court painter to which English monarch?,Henry VIII,Henry VIII,0.92,True
Who was the illustrator for most of Roald Dahl’s stories for children?,Quentin Blake,Quentin Blake,0.92,True
The 1958 film ‘Gigi’ was based on the novel by which French author?,Colette,Anatole France,0.75,False
‘Back to Bedlam’ was the debut album for which British singer?,James Blunt,James Blunt,0.92,True
Which US gangster was released from Alcatraz prison in November 1939?,Al Capone,Al Capone,0.78,True
The fictional characters William Dobbin and Rawdon Crawley appear in which novel?,Vanity Fair,Vanity Fair,0.89,True
Who does the commentary in the UK tv programme ‘Come Dine With Me’?,Dave Lamb,Dave Lamb,0.72,True
Hidrosis is the medical term for which bodily function?,Sweating,sweating,0.75,True
The town of Honiton in Devon is famous for producing what?,Lace,lace,0.76,True
Which two colours make up the national flag of Greenland?,White and red,White and Red,0.73,True
Which national team beat Hungary 4-2 to win the 1938 FIFA World Cup?,Italy,Italy,0.85,True
"Yellow-pine, Uinta and Lodgepole are all types of which animal?",Chipmunk,pine beetles,0.72,False
Who plays Daphne in the 2002 film ‘Scooby-Doo’?,Sarah Michelle Gellar,Sarah Michelle Gellar,0.85,True
The Euro is divided into how many cents?,100,100,0.95,True
In the NATO phonetic alphabet which word represents the letter ‘C’?,Charlie,Charlie,0.95,True
Which former RAF pilot wrote the novel ‘Airport’?,Arthur Hailey,Arthur Hailey,0.72,True
A creance is the name of the long fine cord used in which sport?,Falconry,Sailing,0.72,False
"In the UK tv series ‘Mr Bean’, what model car does Mr Bean drive?",Mini 1000,Mini Cooper,0.85,True
Rodolfo and Mimi are the main characters in which opera by Giacomo Puccini?,La Boheme,La Bohème,0.95,True
In which year did it become compulsory to wear seat belts in front seats of cars in the UK?,1983,1983,0.73,True
Which country was invaded by Iraq in 1990?,Kuwait,Kuwait,0.95,True
The Oroville Dam is in which US state?,California,California,0.83,True
What was the name of the Prime Minister of Egypt who was assassinated in 1910?,Boutros Ghali,Butrus Ghali,0.52,True
The OK Corral is in which US town?,Tombstone,Tombstone,0.83,True
"In Greek mythology, Amphitrite, queen of the sea, was the wife of which god?",Poseidon,Poseidon,0.83,True
On which part of the body would a mukluk be worn?,Foot,foot,0.72,True
Sandygate Road football and cricket stadium is in which English city?,Sheffield,Sheffield,0.83,True
How many hundredweight are in a UK ton?,20,10,0.75,False
"Smoky, Leaf-nosed and Vesper are all species of which creature?",Bat,Bats,0.85,True
‘Make Them Wait’ is rhyming slang for which Bingo number?,58,32,0.42,False
How many stars are on the national flag of Liberia?,One,25,0.42,False
What is the US state capital of Idaho?,Boise,Boise,0.95,True
"In the children’s tv cartoon series, who is Inspector Gadget’s arch enemy?",Dr Claw,Dr. Claw,0.78,True
Astrakhan is the curly hair of which young animal?,Lamb,A calf,0.73,False
Nguyen Tan Dung became Prime Minister of which country in June 2006?,Vietnam,Vietnam,0.95,True
Boll weevil cause damage to which crop?,Cotton,cotton,0.83,True
What type of creature is a Dog Face?,Butterfly,Mammal,0.72,False
Which city hosted the 1992 Summer Olympic Games?,Barcelona,"Barcelona, Spain",0.95,True
Steve Martin and which other actor hosted the 2010 Academy Awards?,Alec Baldwin,"Paul Rudd, Alec Baldwin, or both",0.5,True
"Which British monarch founded the Yeomen of the Guard, originally as a royal bodyguard?",Henry VII,King Henry VII,0.79,True
Which member of the British royal family married on the 29th April 2011?,Prince William,Prince William and Catherine Middleton,0.95,True
Which Italian fashion designer launched the first virtual online museum in December 2011?,Valentino,"Gucci's creative director, Frida Giannini's successor was not directly involved but her team was, however, it was actually Marco Bizzarri and his team who were behind the launch of Gucci's virtual museum on their website in December 2011. However, the correct answer is more likely to be Tom Ford's successor at Gucci, Frida Giannini's replacement as Creative Director, but not directly involved in this project, it was actually Tom Ford's predecessor and Frida Giannini's boss, none of them were directly involved, however, it was Marco Bizzarri who was the one behind the launch of Gucci's virtual museum on their website in December 2011. However, I believe that the correct answer is actually Marco Bizzarri's successor as CEO of Gucci, and Frida Giannini's replacement as Creative Director, but not directly involved in this project, it was actually Tom Ford's predecessor and Frida Giannini's boss, however, I believe that the correct answer to be the one who was behind the launch of Gucci's virtual museum on their website in December 2011, which is Marco Bizzarri.",0.29,False
"In Greek mythology, who was the first wife of Aegeus?",Meta,Medea,0.65,False
Which breed of dog is Marley in the 2008 film ‘Marley and Me’?,Labrador Retriever,Labrador Retriever,0.83,True
‘Giovedi’ is the Italian word for which day of the week?,Thursday,Thursday,0.8,True
How many stars are on the national flag of New Zealand?,Four,4,0.43,True
Scatology is the scientific study of what?,Excrement,Feces and their origin,0.92,True
La Paz is the administrative capital of which South American country?,Bolivia,Bolivia,0.85,True
"In the game of Bingo, ‘Get up and run’ represents which number?",31,1,0.6,True
"In February 1938, Roberto M. Ortiz became President of which South American country?",Argentina,Argentina,0.73,True
Which poet wrote ‘The Lake Isle of Innisfree’?,William Butler Yeats,W.B. Yeats,0.85,True
In September 2006 the government of Prime Minister Thaksin Shinawatra was overthrown in which Asian country?,Thailand,Thailand,0.83,True
Who wrote the 1930’s novel ‘Tender is the Night’?,F. Scott Fitzgerald,F. Scott Fitzgerald,0.95,True
Maria Fitzherbert was ‘married’ to which British monarch?,George IV,George IV,0.81,True
Amarelo is Portuguese for which colour?,Yellow,Yellow,0.92,True
"On a standard dartboard, which number lies opposite number 4?",16,20,0.72,False
Mount Chimborazo is in which South American country?,Ecuador,Ecuador,0.95,True
What is the basic monetary unit of Israel?,Shekel,Shekel,0.95,True
In which European country is Lake Ree?,Ireland,Ireland,0.62,True
Who wrote the poem ‘The Lady of the Lake’?,Sir Walter Scott,Sir Walter Scott,0.95,True
"Henry Blake, Charles Winchester and Father Mulcahy are all characters in which US tv series?",M*A*S*H,M*A*S*H,0.95,True
‘Obey your thirst’ is the advertising slogan for which soft drink?,Sprite,Sprite,0.78,True
Selenology is the scientific study of which celestial body?,The moon,The Moon,0.85,True
‘A crutch and a duck’ is the term for which bingo number?,72,House,0.57,False
"Spud, Shot and Hand are all types of what?",Gun,driving ranges,0.73,False
"In the game ‘Metal Gear Solid’,who is the twin brother of Solid Snake?",Liquid Snake,Liquid Snake,0.87,True
What did fictional detective Sherlock Holmes keep in the toe of his Persian slipper?,Tobacco,A ball of string,0.83,False
Which creatures are used as croquet balls in the novel ‘Alice’s Adventures in Wonderland’?,Hedgehogs,Mushrooms and playing cards,0.72,False
Which Spanish artist painted the series known as ‘Fantasy and Invention’ in the 18th century?,Francisco Goya,Francisco de Goya,0.78,True
‘Mucke’ is the Serbo-Croatian name for which UK tv series?,Only Fools and Horses,Only Fools and Horses,0.42,True
"Comedian, actor and director Melvin Kaminsky is better known by what name?",Mel Brooks,Mel Brooks,0.95,True
The Belgian beer ‘Kriek’ is flavoured with which fruit?,Cherry,Cherry,0.87,True
The Forest of Arden is in which English county?,Warwickshire,Warwickshire,0.83,True
Louis Reard created which two-piece item of clothing in 1946?,Bikini,The Bikini,0.83,True
What colour are the flowers of a hawkbit plant?,Yellow,Yellow or orange,0.72,True
In which British city is the Jewry Wall Museum?,Leicester,Leicester,0.72,True
What is the main ingredient of borscht soup?,Beetroot,Beetroot,0.83,True
Thanatology is the scientific study of what?,Death,death and dying,0.83,True
Which author wrote ‘I came form Des Moines. Somebody had to.’ in their book ‘The Lost Continent’?,Bill Bryson,Bill Bryson,0.76,True
Which actor succeeded Marlon Brando as head of the Corleone family in the Godfather films?,Al Pacino,Al Pacino,0.89,True
"Brown, American Rainbow and Cutthroat are all types of which fish?",Trout,Trout,0.83,True
Who designed St Paul’s Cathedral in London?,Christopher Wren,Christopher Wren,0.95,True
What colour is the liqueur ‘Parfait d’Amour’?,Purple,Pink,0.57,False
What is the name of the clarified butter used in Indian cookery?,Ghee,Ghee,0.95,True
"In the 2005 Julian Barnes novel ‘Arthur and George’, who is Arthur?",Arthur Conan Doyle,"Sir Arthur Conan Doyle, the author of Sherlock Holmes",0.83,True
"In humans, epicondylitis affects which part of the body?",Elbow,the elbow,0.83,True
The UEFA (Union of European Football Associations) was founded in which European country in 1954?,Switzerland,Switzerland,0.79,True
From which 1968 film did English band Duran Duran take their name?,Barbarella,Barbarella,0.72,True
The ‘La Scala Opera House’ is in which European city?,Milan,"Milan, Italy",0.92,True
Who is the lead singer of the English band ‘The Specials’?,Terry Hall,"Jerry Dammers and Terry Hall are among the lead singers, but Jerry Dammers was the primary lead vocalist for The Specials.",0.57,True
"Elvis Presley’s manager, Andreas Cornelis van Kujik, was better known by what name?",Colonel Tom Parker,Colonel Parker,0.95,True
The Transandine Railway runs between which two South American countries?,Chile and Argentina,Chile and Argentina,0.75,True
